x,y
ASVABC,2400262.15
ASVABPC,2285531.57
ASVABWK,2285531.44
ASVABMK,1314493.01
EDUCPROF,11.04
CATSE,9.37
EDUCPHD,4.79
MSA11NK,4.79
COLLBARG,4.49
HHBMONLY,2.98
MALE,2.06
PRFSTYPE,1.71
REG97NE,1.64
REGS,1.52
MSA97NCC,1.46
CATPRI,1.23
S,1.2
MARRIED,1.07
PRMSTYAN,1
HHBMOF,0.92
EXP,0.9
PRMSTYUN,0.69
RS97URBN,0.6
REGW,0.6
ETHHISP,0.59
HHBMBF,0.47
PRMSTYAE,0.43
SM,0.37
MSA97CC,0.36
FAITHJ,0.36
BYEAR,0.27
FAITHN,0.26
ASVABNO,0.26
FAITHM,0.24
TENURE,0.2
HEIGHT,0.17
SFR,0.16
FAITHP,0.13
FEMALE,0.09
PRMSTYPE,0.08
SF,0.06
HOURS,0.05
PRMONF,0.01
WEIGHT04,0.01
AGEMBTH,0
HHINC97,0
ASVABMV,0
RS97UNKN,0
MSA11NIC,0
POVRAT97,-0.01
PRFSTYAN,-0.02
FAITHC,-0.02
WEIGHT11,-0.02
CATNPO,-0.02
PRFSTYAE,-0.04
HHOTHER,-0.06
ETHWHITE,-0.08
PRMONM,-0.12
MSA97NO,-0.13
EDUCMAST,-0.15
SINGLE,-0.19
SIBLINGS,-0.19
HHOMBF,-0.21
AGE,-0.26
JOBS,-0.28
CATMIS,-0.3
PRFSTYUN,-0.38
SMR,-0.38
REG97W,-0.38
COHABIT,-0.39
OTHSING,-0.49
ETHBLACK,-0.5
REG97NC,-0.55
RS97RURL,-0.6
REG97S,-0.71
URBAN,-0.91
CATGOV,-0.92
MSA11CC,-0.95
FAITHO,-0.97
REGNC,-1.04
REGNE,-1.08
ASVABCS,-1.18
MSA97NK,-1.68
MSA11NCC,-1.79
MSA11NO,-2.06
EDUCBA,-2.48
EDUCAA,-3.04
EDUCDO,-3.12
EDUCHSD,-3.44
EDUCGED,-3.61
HHBFONLY,-4.09
ASVABAR,-4623.72
VERBAL,-3057694.29
ASVABC4,-4697451.54
